"","blog.txt","news.txt","twitter.txt"
"''i didn't",1,1,0
"' and",3,1,0
"' but",3,0,2
"' i",4,0,3
"' it's",0,1,2
"' said",1,1,0
"' she",1,0,1
"' we",1,1,2
"' well",1,1,0
"'05 '06",1,0,1
"'70s it",1,1,0
"'are you",1,0,2
"'cause he",1,1,0
"'cause i",6,2,4
"'cause i'm",3,0,2
"'cause you're",1,0,1
"'did i",0,1,1
"'do i",1,0,1
"'em a",1,1,1
"'em and",0,1,1
"'em i",2,0,2
"'em if",1,0,1
"'em in",1,2,0
"'em out",2,0,5
"'em to",0,1,1
"'how to",3,0,1
"'hunger games'",0,1,3
"'i am",4,0,1
"'i can't",2,1,0
"'i don't",5,0,1
"'i love",2,0,1
"'i think",1,1,0
"'i told",2,1,1
"'if you",3,0,2
"'if you're",1,0,1
"'it's the",1,0,1
"'n' roll",3,1,3
"'nuff said",1,1,2
"'oh god",1,1,0
"'on the",1,0,1
"'one day'",1,0,1
"'real' or",1,0,1
"'s blog",1,0,1
"'s kitchen",2,1,0
"'the golden",1,0,1
"'this is",4,0,1
"'til i",1,0,2
"'tis a",1,0,2
"'tis the",1,0,2
"'up the",1,0,1
"'we are",1,1,0
"'we have",0,1,1
"'what do",1,0,1
"'what is",1,0,1
"'why aren't",2,1,0
"'why does",4,0,1
"'wouldn't it",1,0,1
"'you are",3,0,1
"'you know",0,1,1
"#'s for",1,0,1
"#'s they",1,0,1
"# 2",1,0,1
"#1 and",2,0,2
"#1 for",2,0,3
"#1 if",1,0,2
"#1 is",1,0,1
"#1 on",1,0,4
"#1 that",1,0,1
"#1 to",1,0,1
"#2 and",1,0,2
"#2 of",1,0,2
"#3 and",2,0,1
"#3 is",1,0,1
"#3 on",1,0,1
"#3 the",1,0,1
"#4 in",2,0,1
"#4 on",1,0,1
"#ows crowd",1,0,1
"% in",2,0,2
"% of",2,0,10
"% what",1,0,1
"& 80's",1,0,1
"& a",13,0,70
"& after",1,0,2
"& again",1,0,1
"& all",2,0,16
"& almost",1,0,1
"& amy",2,0,1
"& an",1,0,8
"& analytics",1,0,1
"& art",2,0,5
"& as",1,0,1
"& associates",1,3,2
"& away",1,0,1
"& back",1,0,3
"& be",1,0,19
"& bear",1,0,1
"& beer",1,0,3
"& beyond",1,0,3
"& black",2,0,4
"& body",1,0,2
"& books",1,0,1
"& boston",1,0,2
"& breakfast",2,1,1
"& bright",1,0,1
"& bring",1,0,3
"& brown",1,0,3
"& business",1,0,4
"& characters",1,0,1
"& charlie",1,0,1
"& cheese",4,0,4
"& child",1,0,1
"& chocolate",1,0,2
"& clark",0,1,1
"& co",8,4,3
"& cocoa",1,0,1
"& coffee",1,0,5
"& community",1,0,4
"& crafts",3,1,0
"& cream",2,0,1
"& crown",1,0,1
"& custom",1,0,2
"& d",1,0,1
"& dad",1,0,3
"& do",1,0,8
"& done",1,0,1
"& down",3,0,1
"& dumber",1,0,1
"& e",1,0,2
"& educational",1,0,1
"& enjoy",2,0,11
"& every",1,0,3
"& everything",1,0,2
"& family",1,0,8
"& famous",1,0,2
"& far",1,0,2
"& fill",1,0,1
"& financial",1,0,1
"& fine",1,0,1
"& food",1,0,5
"& for",1,0,24
"& francis",1,0,1
"& friends",2,0,7
"& fruit",1,0,1
"& fun",2,0,4
"& gamble",2,1,0
"& game",1,0,1
"& garden",1,0,2
"& girls",2,0,1
"& go",1,0,9
"& gown",1,0,1
"& green",2,0,3
"& grits",1,0,1
"& happy",1,0,12
"& hard",1,0,1
"& he",1,0,16
"& heart",1,0,1
"& her",3,0,11
"& high",1,0,1
"& his",4,0,14
"& hoping",1,0,1
"& how",1,0,12
"& human",1,0,2
"& humble",1,0,2
"& i",11,0,139
"& i'm",3,0,29
"& i've",1,0,1
"& if",1,0,4
"& incredibly",1,0,1
"& inspiration",1,0,2
"& inspire",1,0,1
"& instead",1,0,1
"& it",2,0,22
"& jam",1,0,2
"& johnson",0,2,2
"& join",1,0,5
"& jonathan",1,0,1
"& june",1,0,1
"& just",1,0,11
"& late",1,0,1
"& leave",1,0,5
"& listen",1,0,1
"& love",1,0,9
"& m",3,0,1
"& maple",1,0,1
"& mark",1,0,1
"& marketing",1,0,1
"& mary",1,0,4
"& me",4,0,3
"& michael",1,0,2
"& miss",1,0,2
"& more",4,2,31
"& move",1,0,1
"& mrs",2,0,1
"& ms",1,0,1
"& much",1,0,2
"& music",1,1,4
"& my",6,0,25
"& need",1,0,8
"& new",1,0,8
"& no",1,0,9
"& noble",3,5,5
"& not",3,0,21
"& now",2,0,19
"& oates",1,0,1
"& of",1,0,4
"& old",1,0,3
"& older",1,0,1
"& one",3,0,4
"& onion",1,1,2
"& others",1,0,1
"& out",2,0,7
"& paper",1,0,1
"& partners",1,0,2
"& people",1,0,6
"& piano",1,0,2
"& pieces",1,0,1
"& place",1,0,1
"& poached",1,0,1
"& post",0,1,4
"& practice",1,0,2
"& pub",1,0,1
"& public",1,0,1
"& raised",1,0,1
"& read",2,0,3
"& red",1,0,3
"& review",1,0,1
"& richard",1,0,1
"& right",1,0,2
"& sarah",1,0,1
"& saturday",1,0,5
"& says",1,0,5
"& schuster",4,1,0
"& science",1,0,1
"& security",1,0,1
"& see",1,0,15
"& seeing",2,0,2
"& seen",1,0,1
"& share",1,0,7
"& she",2,0,5
"& shine",1,0,1
"& singing",1,0,1
"& so",2,0,5
"& some",3,0,8
"& son",1,0,1
"& sound",1,0,3
"& south",1,0,2
"& spa",2,1,0
"& space",1,0,2
