"","blog.txt","news.txt","twitter.txt"
"138th running of the kentucky derby",1,0,1
"3rd season of one tree hill",1,0,1
"a chance to win a prize",1,0,1
"a couple of days ago and",2,0,1
"a couple of years ago she",2,1,0
"a difference in the lives of",1,0,1
"a father can do for his",1,0,1
"a feeling that is going to",1,0,1
"a few of the things i",1,0,1
"a force to be reckoned with",2,0,2
"a friend is someone who knows",1,0,1
"a good friend of mine who",1,0,1
"a good idea at the time",2,0,1
"a good way to start the",1,0,2
"a good weekend was had by",1,0,1
"a great time working on the",1,0,1
"a great way to start off",1,0,1
"a large skillet over medium heat",3,1,0
"a light at the end of",1,0,1
"a link to your blog post",1,0,1
"a look at some of the",3,2,0
"a lot of catching up to",1,0,1
"a lot of getting used to",1,0,1
"a lot of it has to",1,0,1
"a lot of people come to",0,1,1
"a lot of time and energy",1,0,1
"a lot of work to do",3,1,1
"a lot to be happy about",1,0,1
"a man and a woman and",1,1,0
"a once in a lifetime opportunity",1,1,0
"a special place in my heart",2,1,0
"a special thank you to the",1,0,1
"a time there was a girl",1,0,1
"a tip of the hat to",1,0,1
"a year and a half ago",2,1,0
"a year and a half later",1,1,0
"about tomorrow for tomorrow will be",1,0,1
"about what needs to be done",1,0,1
"about you and still loves you",1,0,1
"accept the things i cannot change",1,0,1
"act like a lady think like",1,0,1
"after a long day at work",1,0,1
"after an hour and a half",1,0,1
"alexander and the terrible horrible no",1,0,1
"all about you and still loves",1,0,1
"all i can do is sit",1,0,1
"all i can think about is",1,0,2
"all i can think is my",1,0,1
"all i could do to get",1,0,1
"all i have to do is",2,0,1
"all i want to do is",1,0,6
"all is right with the world",1,0,1
"all know what i'm talking about",1,0,1
"all of the moms out there",1,0,1
"all the days of her life",1,0,1
"all the help we can get",1,0,1
"all the way back to the",1,1,0
"all the way to the end",2,0,1
"all you have to do is",11,0,2
"all you need is a little",1,0,1
"all you need to do is",7,0,1
"am i the only one who",1,0,13
"am now a huge fan of",1,0,1
"am really looking forward to it",2,0,1
"am so not looking forward to",1,0,2
"am still trying to figure out",1,0,1
"am trying to figure out what",1,0,1
"an end of the year celebration",1,0,1
"an increase in the number of",1,1,0
