"","blog.txt","news.txt","twitter.txt"
"' but i",1,0,1
"' we can",1,0,1
"'70s it was",1,1,0
"'em a break",0,1,1
"'i love you",1,0,1
"'tis the season",1,0,2
"'what do you",1,0,1
"'wouldn't it be",1,0,1
"#1 for the",1,0,1
"#1 on the",1,0,1
"#2 of the",1,0,1
"& a friend",1,0,1
"& a little",1,0,1
"& associates to",1,1,0
"& cheese with",1,0,1
"& do you",1,0,1
"& financial security",1,0,1
"& her hubby",1,0,1
"& how it",1,0,1
"& i'm not",1,0,3
"& i have",2,0,8
"& i would",1,0,1
"& if you",1,0,2
"& incredibly close",1,0,1
"& it was",2,0,4
"& listen to",1,0,1
"& music festival",1,1,0
"& my husband",1,0,1
"& not know",1,0,1
"& raised in",1,0,1
"& see how",1,0,1
"& stopped to",1,0,1
"& the chorus",1,0,1
"& the guy",1,0,1
"& the kids",1,0,1
"& then i",2,0,3
"& there is",1,0,1
"& they don't",1,0,2
"& this is",1,0,3
"& waking up",1,0,1
"& wanted a",1,0,1
"& was told",1,0,1
"& you can",1,0,3
"& you will",1,0,3
"+ design is",0,1,1
"ù and they",1,0,1
"ù and you",1,0,1
"ù how do",1,0,1
"ù or the",1,0,1
"ù she asked",2,1,0
"ù yeah i",1,0,1
"1 billion in",0,1,2
"1 cup reduced",1,1,0
"1 i'm a",1,0,1
"1 million for",0,2,1
"1% of the",2,0,2
"10 am and",1,0,1
"10 and i",1,0,1
"10 days ago",0,1,2
"10 days on",1,0,1
"10 gift certificate",1,0,1
"10 in the",3,0,3
"10 instead of",1,1,0
"10 minutes to",2,1,1
"10 months ago",1,0,1
"10 more minutes",4,0,1
"10 of the",3,1,0
"10 or more",0,1,3
"10 out of",1,0,1
"10 page paper",1,0,1
"10 per person",1,1,0
"10 percent of",0,3,2
"10 pm and",1,1,0
"10 points for",1,1,0
"10 pounds of",1,0,1
"10 things i",1,0,1
"10 times in",1,0,1
"10 to 15",2,0,1
"10 to 20",1,1,0
"10 to go",0,1,1
"10 year anniversary",2,0,2
"10 year old",4,1,2
"10 years ago",3,1,7
"10 years and",2,1,0
"10 years as",0,1,1
"10 years in",1,5,3
"10 years later",1,1,1
"10 years of",3,1,0
"10 years old",4,0,1
"10% discount on",1,0,1
"10% of the",1,0,1
"10% off coupon",2,0,1
"10% pay cut",1,1,0
"100 and interstate",0,1,1
"100 days of",1,0,1
"100 followers i",1,0,1
"100 for the",1,0,1
"100 investment bankers",1,1,0
"100 mile radius",1,1,0
"100 miles per",0,1,1
"100 million he",1,1,0
"100 million of",1,1,0
"100 million years",1,0,1
"100 or so",1,0,1
"100 percent of",3,1,1
"100 years from",2,0,1
"100 years of",1,0,1
"100% of my",1,0,1
"100% of the",2,0,6
"100% sure that",2,0,1
"11 am topm",1,1,0
"11 for a",1,0,1
"11 in the",1,0,3
"11 of us",1,0,1
"11 the last",0,1,1
"11 year old",6,2,0
"11 years ago",2,0,1
"11 years at",1,1,0
"12 am and",1,1,0
"12 and 18",1,0,1
"12 at am",1,0,3
"12 at night",1,0,1
"12 hours a",2,1,0
"12 in the",3,1,1
"12 is the",1,0,1
"12 months in",2,0,1
"12 on the",0,2,1
"12 or 13",2,0,1
"12 to 18",1,1,0
"12 year old",5,2,6
"12 years ago",0,1,2
"12 years and",1,0,1
"12 years now",1,1,0
"13 year old",4,1,2
"13 years old",2,0,2
"138th running of",1,0,1
"14 year old",4,1,2
"14 years ago",1,0,1
"14 years and",1,1,0
"140 character tweets",1,0,1
"140 characters and",2,0,1
"15 and i",1,0,1
"15 at the",2,1,0
"15 mins and",1,0,1
"15 minutes a",1,0,1
"15 minutes and",2,1,0
"15 minutes before",3,1,0
"15 minutes for",2,0,2
"15 minutes from",1,0,1
"15 minutes of",2,0,3
"15 minutes on",2,0,1
"15 minutes to",1,0,5
"15 minutes until",1,0,1
"15 months of",1,0,1
"15 percent of",2,5,0
"15 year old",7,2,5
"15 years ago",1,1,1
"15 years and",1,1,0
"15 years old",0,1,1
"150 miles of",1,0,1
"16 million in",1,2,0
"16 year old",7,3,5
"17 year old",8,8,3
"17 years of",2,0,1
"18 at the",0,1,1
"18 months ago",1,1,0
"18 of the",1,3,2
"18 year old",7,2,3
"18 year olds",1,1,0
"18 years of",3,0,1
"19 month old",1,1,0
"19 year old",6,6,1
"19 years old",1,1,0
"1942 he was",1,1,0
"1950s and '60s",1,1,0
"1977 i was",1,0,1
"19th and early",1,1,0
"19th in the",0,1,1
"1st and we",1,0,1
"1st at the",1,0,1
"1st round pick",2,0,1
"2 a day",1,0,1
"2 in a",4,2,0
"2 lack of",1,0,1
"20 for the",1,0,1
"20 hours a",1,0,1
"20 in the",0,1,1
"20 million a",1,0,1
"20 minutes after",1,0,1
"20 minutes at",0,1,1
"20 minutes away",1,0,2
"20 minutes for",1,1,0
"20 minutes per",1,0,1
"20 minutes to",2,0,1
"20 minutes while",2,0,1
"20 or more",1,1,0
"20 percent of",0,5,2
"20 school year",0,1,1
"20 year old",3,5,0
"20 years ago",6,1,5
"20 years and",1,0,1
"20 years in",1,2,1
"20 years old",2,0,1
"20 years since",1,0,1
"200 million in",0,2,1
"200 or more",1,0,1
"200 years ago",2,0,1
"200 years from",1,0,1
"2000 when he",1,1,0
"2001 a space",2,0,1
"2001 and the",1,0,1
"2001 i was",1,0,1
"2005 and 2009",1,1,0
"2006 he was",2,1,0
"2008 and 2009",2,1,0
"2008 and the",1,1,0
"2008 but the",0,2,1
"2009 and 2010",2,4,0
"2010 and the",1,0,1
"2010 as the",1,1,0
"2010 for the",1,0,1
"2010 has been",2,0,1
"2010 i think",1,0,1
"2010 is a",1,0,1
"2010 when i",1,1,0
"2010 with a",1,1,0
"2011 issue of",2,0,1
"2011 it is",1,0,1
"2011 it was",1,0,1
"2011 the number",1,1,0
"2012 has been",1,0,1
"2012 i would",1,0,1
"2012 is going",1,0,2
"2012 school year",1,1,1
"2012 stay tuned",1,0,3
"2012 the first",1,0,1
"2013 is the",1,0,1
"20s and 30s",1,1,1
"21 and older",1,2,0
"21 jump street",1,0,1
"21 this is",1,0,1
"21 year old",3,1,1
"22 of the",1,1,1
"22 percent of",1,1,0
"22 year old",0,7,1
"22 years of",2,0,1
"23 and the",1,1,0
"23 year old",3,1,0
"23 years of",1,0,1
"23 years old",2,0,1
"24 hours a",8,1,1
"24 hours after",1,1,1
"24 hours of",2,1,4
"24 hours to",1,0,1
"24 of the",2,1,0
"24 year old",2,1,0
"24 years of",1,0,1
"24 years old",2,0,1
"25 family members",0,1,1
"25 in advance",0,1,1
"25 minutes or",3,1,0
"25 year old",3,3,0
"25 years ago",2,1,2
"25 years and",1,1,0
"25 years in",1,1,0
"25 years of",1,1,1
"25th anniversary of",1,1,0
"26 in the",1,1,0
"26 percent of",1,1,0
"26 year old",2,3,1
"27 year old",1,4,1
"28 year old",4,1,1
"29th and 30th",1,0,1
"2nd and 3rd",1,0,1
"2nd day of",1,0,2
"2nd game of",1,0,1
"2nd in the",1,0,1
"2pm check out",1,0,1
"3 do you",1,0,1
"30 days i",2,0,1
"30 days of",1,0,1
"30 days to",1,1,3
"30 g fat",1,1,0
"30 min away",1,0,1
"30 minutes and",5,0,2
"30 minutes before",1,0,2
"30 minutes of",1,1,3
"30 minutes so",1,0,1
"30 minutes to",3,0,1
"30 or 40",2,1,0
"30 percent of",1,3,0
"30 pounds of",1,1,0
"30 seconds of",5,0,4
"30 to 40",1,2,0
"30 year fixed",1,1,1
"30 year old",2,1,1
"30 years ago",1,3,0
"30 years and",1,0,1
"30 years in",1,0,1
"30 years of",2,1,1
"30 years old",3,0,1
"300 for a",1,0,1
"31 days to",1,0,1
"31 of the",1,1,0
"31 year old",3,0,1
"33 year old",1,1,1
"33 years of",1,0,1
"35 mile run",1,0,1
"35 to 40",1,0,1
"36 hours and",1,0,1
"364 days in",0,1,1
"365 days of",2,0,2
"3rd season of",1,0,1
"3x per week",1,0,1
"4 add the",1,1,0
"40 minutes of",1,0,1
"40 percent a",1,1,0
"40 percent of",1,3,0
"40 year old",4,3,1
"40 years old",1,0,1
"40% of the",1,0,3
"400 and the",1,0,1
"41 year old",1,1,0
"43 year old",1,1,1
"43 years old",1,0,1
"44 year old",1,0,1
"45 million in",1,1,0
"45 minutes of",1,1,0
"45 minutes to",2,0,1
"45 points but",1,1,0
"45 year old",1,1,1
"45 years old",0,1,1
"47 year old",1,2,0
"47% of the",1,0,1
"48 and a",1,1,0
"48 hours to",6,1,1
"48 year old",1,1,0
"48 years old",1,0,1
"4th grade i",1,0,1
"4th of july",5,1,21
"5 for each",0,1,1
"5 million for",1,2,0
"5 million to",1,1,0
"5 to the",1,1,0
"50 or more",1,0,3
"50 people most",0,1,1
"50 percent of",1,2,0
"50 shades of",2,0,3
"50 year old",2,1,1
"50 years ago",4,1,1
"50 years of",2,1,1
"50% of the",2,1,1
"500 people including",1,1,0
"500 shopping spree",1,0,1
"5000 in the",1,1,0
"500000 a year",1,1,0
"50th anniversary of",2,1,0
"54 year old",0,2,1
"55 percent of",1,1,0
"55 year old",1,1,0
"6 be sure",1,0,1
"6 million from",0,1,1
"6 to 10",1,1,0
"6% of the",1,0,1
"60 per person",1,1,0
"60 percent of",4,2,0
"60 years ago",1,1,0
"60s and 70s",1,1,0
"61 year old",1,2,0
"63 year old",1,1,0
"70 year old",1,0,1
"70% of the",1,0,1
"75 year old",1,3,0
"75 years ago",1,1,0
"75% of the",2,0,2
"75+ years old",1,0,1
"76 year old",1,1,0
"7th in the",1,0,2
