"","blog.txt","news.txt","twitter.txt"
"'05",1,1,0
"'06",1,2,0
"'07",1,3,0
"'70s",4,4,0
"'80s",2,2,0
"'90s",1,3,0
"'big",2,1,0
"'cause",5,4,0
"'em",3,6,0
"'good",2,1,0
"'i'm",1,2,0
"'man",1,2,0
"'no",3,1,0
"'no'",1,1,0
"'oh",2,5,0
"'should",1,1,0
"'soft",1,1,0
"'the",11,1,0
"'this",1,2,0
"'un",1,1,0
"'vote",1,1,0
"'we",2,3,0
"'what",4,3,0
"'why",2,1,0
"'yes",1,3,0
"'you",1,1,0
"""also",1,3,0
"""and",4,29,0
"""any",1,4,0
"""are",1,5,0
"""bad",1,2,0
"""because",1,2,0
"""best",1,2,0
"""big",5,2,0
"""black",1,2,0
"""blood",1,1,0
"""but",2,42,0
"""by",1,3,0
"""come",1,4,0
"""dancing",1,4,0
"""de",1,1,0
"""do",5,3,0
"""don't",1,9,0
"""everything",1,1,0
"""final",1,1,0
"""for",2,10,0
"""from",1,2,0
"""get",1,2,0
"""girlfriend""",1,1,0
"""go",6,4,0
"""good",2,8,0
"""he",3,26,0
"""he's",2,13,0
"""heads",1,1,0
"""heroic",1,1,0
"""hey",6,1,0
"""home""",1,1,0
"""how",1,5,0
"""i'll",1,3,0
"""i'm",5,47,0
"""if",5,34,0
"""in",7,19,0
"""it",4,74,0
"""it's",3,108,0
"""just",1,3,0
"""keep",2,1,0
"""let",1,3,0
"""let's",3,2,0
"""life",2,1,0
"""love",1,2,0
"""mad",1,1,0
"""miss",1,1,0
"""mommy",1,1,0
"""more",1,5,0
"""most",1,3,0
"""mother",1,1,0
"""mr",1,2,0
"""my",8,19,0
"""new",1,2,0
"""next",1,1,0
"""no",6,12,0
"""no""",1,4,0
"""not",1,9,0
"""now",1,2,0
"""oh",4,4,0
"""on",1,1,0
"""one",2,12,0
"""out",2,3,0
"""playing",1,1,0
"""really",1,1,0
"""ride""",1,1,0
"""right",1,3,0
"""running",1,1,0
"""school",1,1,0
"""she",1,10,0
"""so",2,11,0
"""speaking",1,1,0
"""take",1,2,0
"""tell",1,1,0
"""that",3,18,0
"""the",19,196,0
"""there",1,21,0
"""they",1,43,0
"""think",1,1,0
"""this",4,39,0
"""those",3,4,0
"""time",1,2,0
"""to",1,9,0
"""trying",1,1,0
"""up",1,2,0
"""use",2,1,0
"""v""",1,1,0
"""very",2,3,0
"""we",4,139,0
"""we're",2,27,0
"""well",4,3,0
"""what",9,16,0
"""what's",1,4,0
"""when",2,35,0
"""why",5,3,0
"""with",2,7,0
"""yeah",3,2,0
"""yes""",2,1,0
"""you",11,43,0
"""you're",6,5,0
"""your",2,5,0
"10%",11,2,0
"100",31,48,0
"1000",6,18,0
"10000",6,15,0
"100000",1,15,0
"101",2,8,0
"103",1,3,0
"105",1,4,0
"106",2,3,0
"107",2,1,0
"109",1,3,0
"1095",1,2,0
"10a",1,1,0
"10k",3,2,0
"10th",3,10,0
"110",2,3,0
"112",1,1,0
"113",1,3,0
"114",1,1,0
"115",1,4,0
"116",1,2,0
"117",3,1,0
"1175",1,1,0
"11th",4,2,0
"1200",1,3,0
"121",1,2,0
"125",1,11,0
"1250",1,2,0
"125000",2,2,0
"125th",1,1,0
"1295",1,1,0
"12th",1,3,0
"130",1,8,0
"1300",1,1,0
