"","term","count","additive","probability","lnProbability"
"1","#atl","1","2","0.000836820083682008","-7.08590146436561"
"2","#atlanta","1","2","0.000836820083682008","-7.08590146436561"
"3","#bjcbranding","1","2","0.000836820083682008","-7.08590146436561"
"4","#buddypress","1","2","0.000836820083682008","-7.08590146436561"
"5","#career","1","2","0.000836820083682008","-7.08590146436561"
"6","#design","1","2","0.000836820083682008","-7.08590146436561"
"7","#dev","1","2","0.000836820083682008","-7.08590146436561"
"8","#drupal","3","4","0.00167364016736402","-6.39275428380566"
"9","#edocr","1","2","0.000836820083682008","-7.08590146436561"
"10","#eecms","2","3","0.00125523012552301","-6.68043635625745"
"11","#enginehosting","1","2","0.000836820083682008","-7.08590146436561"
"12","#freelance","7","8","0.00334728033472803","-5.69960710324572"
"13","#freelancer","1","2","0.000836820083682008","-7.08590146436561"
"14","#howto","1","2","0.000836820083682008","-7.08590146436561"
"15","#integration","1","2","0.000836820083682008","-7.08590146436561"
"16","#internetmarketing","1","2","0.000836820083682008","-7.08590146436561"
"17","#interspire","2","3","0.00125523012552301","-6.68043635625745"
"18","#javascript","3","4","0.00167364016736402","-6.39275428380566"
"19","#job","7","8","0.00334728033472803","-5.69960710324572"
"20","#jobs","4","5","0.00209205020920502","-6.16961073249146"
"21","#jobs4u","1","2","0.000836820083682008","-7.08590146436561"
"22","#jquery","2","3","0.00125523012552301","-6.68043635625745"
"23","#lightweight","1","2","0.000836820083682008","-7.08590146436561"
"24","#linux","1","2","0.000836820083682008","-7.08590146436561"
"25","#logo","1","2","0.000836820083682008","-7.08590146436561"
"26","#mandrill","3","4","0.00167364016736402","-6.39275428380566"
"27","#mysql","1","2","0.000836820083682008","-7.08590146436561"
"28","#newsletters","1","2","0.000836820083682008","-7.08590146436561"
"29","#photoshopdesign","1","2","0.000836820083682008","-7.08590146436561"
"30","#php","3","4","0.00167364016736402","-6.39275428380566"
"31","#plone","2","3","0.00125523012552301","-6.68043635625745"
"32","#plugin","1","2","0.000836820083682008","-7.08590146436561"
"33","#plugins","1","2","0.000836820083682008","-7.08590146436561"
"34","#project","1","2","0.000836820083682008","-7.08590146436561"
"35","#python","1","2","0.000836820083682008","-7.08590146436561"
"36","#redhen","1","2","0.000836820083682008","-7.08590146436561"
"37","#selfinducedcannibalization","1","2","0.000836820083682008","-7.08590146436561"
"38","#sendgrid","1","2","0.000836820083682008","-7.08590146436561"
"39","#templates","1","2","0.000836820083682008","-7.08590146436561"
"40","#timetomoveon","1","2","0.000836820083682008","-7.08590146436561"
"41","#transactional","1","2","0.000836820083682008","-7.08590146436561"
"42","#wcmelb","2","3","0.00125523012552301","-6.68043635625745"
"43","#wordpress","2","3","0.00125523012552301","-6.68043635625745"
"44","(@mandrillapp)","1","2","0.000836820083682008","-7.08590146436561"
"45","(0.0.3)","1","2","0.000836820083682008","-7.08590146436561"
"46","(0.0.4)","1","2","0.000836820083682008","-7.08590146436561"
"47","(1.0.19)","1","2","0.000836820083682008","-7.08590146436561"
"48","(1.0.25)","1","2","0.000836820083682008","-7.08590146436561"
