"","blog.txt","news.txt","twitter.txt"
"ò ô",17,1,1
"ì add",1,1,1
"ì friday",2,1,1
"ì just",45,1,3
"ì may",10,1,1
"ì people",15,1,1
"ì pm",15,1,3
"ì ôs",82,1,4
"î just",7,1,1
"î short",1,1,1
"î sometimes",1,1,1
"î will",8,1,2
"aaron rodgers",4,2,17
"ability play",2,1,1
"ability read",2,1,2
"able accept",2,1,1
"able accommodate",1,1,1
"able add",3,1,1
"able buy",5,1,2
"able call",4,1,3
"able drive",1,1,2
"able follow",3,2,2
"able get",81,3,46
"able get married",2,1,3
"able keep",10,1,4
"able look",3,1,3
"able make",33,3,25
"able move",6,1,3
"able much",3,1,1
"able pick",4,2,3
"able play",3,2,3
"able provide",5,1,1
"able purchase",1,1,1
"able put",13,1,2
"able read",7,1,8
"able ride",2,1,1
"able skip",1,1,1
"able sleep",5,1,10
"able stay",11,1,3
"able think",3,1,4
"able use",14,2,5
"absolutely im",1,1,3
"absolutely loving",1,1,2
"absolutely necessary",4,2,3
"absolutely nothing",16,2,18
"absolutely nothing wrong",2,1,1
"absolutely right",5,1,7
"abuse neglect",3,2,3
"abuse victims",1,1,1
"academy awards",3,3,4
"accept challenge",1,1,5
"accept fact",5,1,6
"acceptable make",1,1,1
"acceptance speech",2,1,11
"access information",1,1,2
"access internet",3,1,2
"access treatment",1,1,1
"accomplish anything",3,1,2
"accomplish goals",2,1,2
"according new",4,3,3
"according plan",6,1,2
"according sources",2,2,1
"according state",1,4,1
"according us",1,5,2
"achieve goals",4,1,1
"achievement award",2,1,6
"achilles heel",2,1,1
"acoustic guitar",6,1,3
"across chest",1,2,3
"across city",2,1,1
"across country",32,10,12
"across hall",1,1,4
"across nation",3,2,5
"across state",1,7,3
"across street",27,3,36
"across way",1,1,1
"act like",32,2,107
"act now",3,1,3
"act one",3,2,3
"act quickly",2,1,1
"acting director",1,1,1
"action movies",3,1,3
"active duty",2,1,3
"active role",3,1,1
"actively seeking",4,1,1
"activity can",4,1,1
"actual real",3,1,1
"actually feeling",1,1,2
"actually first",7,1,3
"actually going",7,1,7
"actually good",9,1,16
"actually gotten",1,1,1
"actually happen",2,1,5
"actually happened",3,1,2
"actually hes",1,1,1
"actually hold",1,1,1
"actually looks",4,1,1
"actually play",2,1,8
"actually right",1,1,1
"actually started",3,2,3
"actually thing",2,1,2
"actually think",10,1,13
"actually used",5,1,5
"actually way",4,1,2
"actually works",3,1,2
"ad agencies",2,1,1
"ad campaign",3,1,3
"ad hoc",6,1,2
"ad nauseam",1,1,1
"add another",8,1,6
"add extra",10,1,2
"add new",4,1,8
"add sugar",9,1,1
"added another",2,1,3
"added dont",1,2,1
"added list",3,1,2
"added two",3,2,3
"adding new",5,2,10
"addis ababa",2,1,1
"additional information",3,3,1
"additional support",1,1,1
"administration will",1,1,1
"admission tickets",2,2,2
"admit didnt",4,1,1
"adult children",1,2,1
"adult life",8,1,3
"adult male",1,1,1
"adults children",2,1,1
"adults kids",3,1,1
"adults will",3,1,1
"advice give",3,1,2
"advisory board",2,2,3
"advisory committee",2,2,2
"affect us",5,1,1
"afford pay",5,1,3
"affordable housing",7,3,2
"afraid say",4,1,1
"afraid speak",1,1,3
"african american",11,4,10
"african americans",8,1,2
"african art",1,1,3
"afternoon night",1,1,1
"agave syrup",1,1,1
"age group",11,1,5
"age people",2,1,1
"age time",1,1,2
"ago got",5,1,1
"ago lived",1,1,1
"ago lot",1,1,2
"ago love",1,1,2
"ago started",4,1,3
"ago still",10,1,5
"ago told",2,1,1
"ago used",7,1,1
"ago will",3,1,1
"agreed pay",1,1,1
"agreed send",1,1,1
"agreed upon",2,1,1
"ahead time",25,1,11
"air conditioning",13,1,10
"air force",14,6,12
"air force academy",1,1,1
"air just",3,1,4
"air national",1,1,1
"air pollution",3,2,1
"air quality",1,1,3
"air traffic",2,2,1
"air will",1,2,1
"al jefferson",1,1,1
"al pacino",5,1,2
"al qaeda",9,4,5
"albert pujols",1,2,4
"album called",3,1,3
"album great",1,1,1
"album since",1,1,1
"alcoholic beverages",1,2,1
"allow go",1,1,1
"allowed leave",3,1,1
"allows people",2,1,1
"allows us",17,1,5
"allstar game",3,1,17
"almighty god",8,1,1
"almost always",29,2,13
"almost broke",2,1,1
"almost certainly",9,5,3
"almost cried",1,1,7
"almost died",4,1,7
"almost enough",1,1,1
"almost every",48,4,15
"almost everyone",7,2,7
"almost feels",3,1,1
"almost flat",1,1,1
"almost four",4,1,1
"almost full",3,1,2
"almost identical",2,1,1
"almost impossible",14,1,1
"almost like",24,4,15
"almost million",4,2,3
"almost never",8,2,8
"almost people",1,1,1
"almost ready",4,1,10
"almost seems",3,1,1
"almost two",8,2,8
"almost two years",4,1,3
"almost years",19,2,7
"alone just",5,1,4
"alone know",1,1,1
"alone one",5,1,1
"alone will",4,1,2
"along either",1,1,1
"along happy",1,1,1
"along lines",20,1,5
"along local",1,1,2
"along new",10,1,2
"along nicely",3,1,3
"along road",6,1,2
"along route",2,1,1
"along two",5,1,3
"along way",80,3,21
"already arrived",1,1,2
"already begun",4,1,4
"already built",2,1,1
"already can",2,1,6
"already closed",1,1,1
"already done",17,1,10
"already enough",5,1,6
"already good",1,1,7
"already got",3,1,27
"already happening",1,1,1
"already knew",16,1,6
"already know",39,2,79
"already lost",4,2,4
"already set",2,1,2
"already started",4,1,7
"already starting",6,1,4
"already struggling",1,1,1
"already taken",2,1,8
"already took",1,1,3
"already used",7,1,2
"already won",3,1,1
"already writing",1,1,1
"also able",10,1,1
"also allow",6,1,1
"also another",3,1,1
"also approved",1,1,1
"also available",9,4,1
"also better",1,1,2
"also call",3,2,2
"also called",14,1,4
"also can",16,1,5
"also claim",1,1,1
"also come",7,2,2
"also consider",3,1,2
"also contributed",1,2,1
"also cover",2,1,1
"also create",6,1,3
"also doesnt",2,1,1
"also dont",10,2,11
"also dont want",1,1,3
"also enjoy",4,1,1
"also find",16,1,3
"also first",15,1,2
"also fun",4,1,2
"also gave",5,2,1
"also get",24,1,10
"also give",6,1,4
"also gives",6,1,5
"also got",25,3,15
"also great",14,2,10
"also help",11,2,2
"also helped",10,2,3
"also important",5,1,1
"also include",6,2,1
"also includes",11,2,2
"also interested",3,1,3
"also joined",4,1,1
"also just",9,1,10
"also known",36,2,8
"also like",36,1,23
"also live",3,2,4
"also look",6,3,8
"also looking",10,2,5
"also love",23,1,27
"also made",36,1,6
"also make",23,2,15
"also makes",18,3,3
"also may",5,1,1
"also means",15,1,2
"also mention",5,1,2
"also mentioned",5,2,1
"also might",4,1,2
"also must",2,2,3
"also nearly",1,1,1
"also need",31,1,16
"also needs",3,1,1
"also never",5,1,4
"also new",9,3,4
"also offer",5,1,1
"also offers",1,2,1
"also one",19,2,9
"also opened",2,1,1
"also opportunity",1,1,1
"also plan",3,2,2
"also played",5,2,1
"also possible",2,1,1
"also pretty",9,1,2
"also provides",6,1,1
"also put",15,1,3
"also responsible",3,1,1
"also said",26,15,4
"also saw",13,1,4
"also say",10,1,5
"also see",15,1,8
"also set",4,1,3
"also shown",1,1,1
"also sold",3,1,1
"also something",6,1,2
"also still",5,1,4
"also take",19,2,4
"also teach",1,1,1
"also tell",3,1,3
"also thank",1,1,3
"also think",21,2,10
"also thought",7,1,1
"also try",7,1,4
"also turn",1,1,1
"also turned",1,1,1
"also us",5,1,1
"also used",47,1,3
"also want",20,1,15
"also wanted",17,1,5
"also will",8,5,6
"also work",5,1,3
"also working",8,1,2
"also wrote",5,1,3
"although can",3,2,1
"although many",5,2,1
"although may",10,1,2
"although one",7,2,1
"aluminum foil",3,1,1
"always add",4,1,2
"always appreciated",2,1,2
"always ask",7,1,3
"always believed",5,1,3
"always counted",1,1,1
"always done",5,1,4
"always found",10,1,3
"always full",4,1,1
"always given",2,1,1
"always going",13,3,8
"always good",30,2,68
"always hand",5,1,2
"always hold",3,1,4
"always included",1,2,1
"always just",4,1,6
"always keep",7,1,10
"always knew",6,1,5
"always know",10,1,11
"always like",9,1,14
"always made",9,1,2
"always one",22,2,25
"always open",4,1,6
"always part",7,1,3
"always play",2,1,7
"always remember",11,2,26
"always said",11,1,9
"always say",15,1,24
"always seem",3,1,15
"always seem find",1,1,2
"always seems",12,2,11
"always seems like",1,1,1
"always show",3,1,4
"always someone",1,1,6
"always something",12,1,13
"always sounds",1,1,3
"always struggle",1,1,1
"always thing",2,1,2
"always think",11,1,32
"always trouble",1,1,1
"always trying",5,2,11
"always want",15,1,18
"always will",17,3,16
"am pm",9,15,27
"amazing go",1,1,2
"amazing just",2,1,10
"amazing place",2,1,5
"amazing see",6,1,6
"amazing talent",1,1,5
"amazing thing",6,1,3
"amendment passed",2,1,2
"amendment rights",3,2,1
"america love",1,1,1
"american airlines",2,3,5
"american cities",3,1,1
"american citizens",3,2,1
"american civil",4,1,1
"american dream",4,2,10
"american flag",1,4,3
"american flags",1,3,2
"american girl",6,1,3
"american idol",10,4,53
"american people",16,1,10
"american pie",3,1,4
"american society",8,1,2
"american troops",2,2,2
"american version",2,1,1
"american way",3,2,3
"americans can",1,1,1
"americans now",2,1,1
"americans prosperity",1,2,1
"americans will",6,1,7
"americaôs founding",1,1,1
"among best",5,2,1
"among first",4,4,3
"among many",15,2,2
"among men",6,1,2
"among others",17,3,3
"among things",11,3,3
"among top",3,2,3
"among us",14,1,5
"amount effort",2,1,1
"amount games",1,1,1
"amount money",14,4,3
"amount time",30,4,14
"amount work",4,2,5
"amusement park",3,2,3
"amy winehouse",5,1,18
"android tablet",2,1,7
"angeles city",1,1,1
"angeles county",3,1,2
"angelina jolie",2,2,6
"anger management",1,1,4
"animated film",3,1,3
"ankle injury",1,1,1
"ann arbor",2,2,6
"ann romney",1,2,9
"anna maria",1,1,1
"announced last",3,6,2
"announced today",6,2,4
"announced tuesday",1,1,1
"annual event",5,2,1
"annual meeting",3,3,13
"annual rate",3,1,1
"another big",3,3,3
"another bottle",1,1,2
"another chance",10,3,13
"another chapter",4,1,5
"another city",5,1,5
"another company",6,1,2
"another coworker",1,1,1
"another day",34,1,101
"another example",20,3,4
"another game",1,1,5
"another girl",7,2,3
"another go",7,1,5
"another goal",1,1,2
"another good",3,1,10
"another issue",5,1,1
"another long",11,1,7
"another look",4,1,3
"another major",7,3,1
"another million",4,2,1
"another minutes",16,1,3
"another must",4,1,3
"another new",13,2,10
"another nice",2,1,1
"another one",73,2,50
"another option",3,1,2
"another part",7,1,3
"another player",1,1,2
"another reason",24,3,15
"another reminder",1,1,3
"another round",17,1,6
"another set",4,1,3
"another shot",5,2,6
"another small",5,1,1
"another source",3,1,1
"another state",4,2,6
"another team",1,1,2
"another time",18,1,11
"another way",24,2,10
"another week",13,1,10
"another winner",4,1,1
"another year",13,2,18
"answer dont",2,1,2
"answer many",2,1,1
"answer phone",5,1,9
"answer question",34,1,22
"answer questions",25,2,17
"answer yes",5,1,16
"answering questions",8,2,6
"anybody really",1,1,1
"anybody ôs",1,1,1
"anyone choose",3,1,1
"anyone else",77,6,200
"anyone else like",1,1,1
"anyone ever",16,1,33
"anyone information",1,6,1
"anyone interested",10,1,23
"anyone think",5,2,11
"anyone time",1,1,1
"anyone trying",2,1,3
"anyone will",6,1,6
"anything away",4,1,3
"anything can",17,2,28
"anything else",70,5,41
"anything granted",1,1,1
"anything help",5,1,3
"anything just",14,2,15
"anything like",36,3,23
"anything love",3,1,2
"anything made",2,1,1
"anything said",1,1,1
"anything say",10,1,11
"anything unusual",2,1,1
"anything without",1,1,7
"anything wrong",17,1,3
"anything yet",3,1,8
"anytime soon",11,3,33
"anyway want",1,1,1
"anywhere else",15,3,11
"anywhere without",5,1,1
"apartment complex",7,2,6
"apartment get",1,1,1
"app will",1,1,4
"appeals court",2,2,1
"appears like",2,1,2
"appears one",1,1,1
"apple pie",6,1,13
"appreciate ù",1,1,2
"appreciate fact",1,1,1
"appreciate way",1,1,1
"approval ratings",1,1,2
"apps like",1,1,1
"april day",1,1,2
"april may",6,1,5
"april pm",2,4,9
"april well",1,1,2
"arbor day",1,1,5
"arcade fire",2,1,1
"architecture design",2,1,2
"area including",2,2,1
"area like",3,2,1
"area need",3,1,1
"area will",5,1,4
"areas can",1,1,1
"areas will",3,1,1
"arent always",1,1,3
"arent exactly",2,2,1
"arent going",4,2,17
"arent good",1,1,6
"arent just",5,1,9
"arent many",2,1,4
"arizona state",2,5,5
"armed forces",16,1,6
"armed robbery",4,1,1
"arms around",9,3,7
"around best",2,1,2
"around bit",5,1,2
"around car",2,1,2
"around country",12,1,1
"around downtown",2,1,1
"around especially",2,1,2
"around everyone",4,1,4
"around floor",2,1,2
"around globe",14,3,4
"around ive",1,1,1
"around just",7,1,5
"around last",2,1,4
"around league",1,1,2
"around like",22,1,14
"around live",1,1,1
"around midnight",3,1,3
"around much",10,1,2
"around naked",3,1,1
"around new",7,1,2
"around noon",1,1,4
"around pm",29,2,20
"around put",2,1,1
"around said",2,1,1
"around saying",4,1,3
"around second",1,1,1
"around see",11,1,7
"around stage",1,2,1
"around state",1,5,1
"around table",3,1,2
"around talking",1,1,2
"around thinking",2,1,1
"around time",33,2,12
"around town",13,3,16
"around will",8,1,1
"around world",76,11,35
"around world including",1,1,1
"around years",7,1,5
"arrest people",1,1,2
"arrested charged",2,3,1
"arrested people",1,2,2
"arrive early",3,1,6
"art center",2,1,5
"art culture",2,1,1
"art deco",5,1,2
"art galleries",6,1,2
"art gallery",6,2,13
"art life",2,2,3
"art museum",6,5,18
"art music",1,1,8
"art project",6,1,4
"art shows",1,1,1
"art supplies",2,1,3
"art works",3,1,1
"art world",6,1,4
"arthur conan",1,1,1
"artist will",1,2,2
"artistic director",2,3,2
"arts center",1,2,13
"arts crafts",8,4,4
"arts culture",2,2,2
"arts sciences",2,1,3
"asbury park",2,1,1
"ashes ashes",1,1,2
"ashton kutcher",1,2,5
"ask anyone",2,2,3
"ask dont",2,1,5
"ask dont tell",1,1,3
"ask long",2,1,1
"ask many",4,1,4
"ask new",2,1,2
"ask people",6,1,3
"ask question",15,2,15
"ask questions",33,3,26
"ask questions later",1,1,1
"ask us",2,2,9
"ask whether",7,1,1
"ask will",3,1,5
"asked comment",1,1,1
"asked first",3,1,2
"asked follow",1,1,4
"asked help",5,3,5
"asked like",3,1,3
"asked question",24,2,8
"asked said",3,1,5
"asked three",1,1,1
"asked us",9,1,6
"asked wanted",10,1,9
"asked whether",7,3,2
"asking question",3,1,9
"asking questions",9,1,7
"assembly line",3,1,4
"assistant director",1,1,2
"associated press",12,13,3
"associates degree",3,1,1
"atlantic city",1,13,8
"attempt get",5,1,2
"attempt one",1,1,1
"attempted murder",7,3,2
"attempting make",3,1,2
"attend college",1,1,1
"attend meeting",5,1,2
"attend school",5,2,1
"attended meeting",1,1,1
"attendees will",3,1,1
"attention back",1,1,1
"attention detail",7,1,5
"attention people",3,1,1
"attention will",1,1,1
"attitude era",1,1,1
"attorney general",9,6,2
"auburn hills",1,2,1
"audio recordings",1,1,1
"audio video",4,1,8
"auto industry",1,1,1
"auto insurance",2,1,5
"auto show",1,1,4
"automatically get",1,1,1
"available new",4,1,1
"available online",9,1,10
"available purchase",9,1,1
"available us",6,2,4
"ave st",1,1,1
"average person",5,1,8
"average price",1,2,1
"award will",3,1,1
"award winner",4,1,3
