"","blog.txt","news.txt","twitter.txt"
"& associates",1,3,2
"& breakfast",2,1,1
"& co",9,4,3
"& music",1,1,6
"& noble",3,5,5
"& onion",1,1,2
"&t s",2,1,2
"1 billion",2,7,4
"1 million",3,15,6
"1 trillion",1,2,2
"10 5",1,1,2
"10 cents",1,1,1
"10 day",2,1,2
"10 days",12,3,21
"10 feet",2,1,2
"10 gallon",2,1,1
"10 go",1,1,2
"10 hours",3,1,3
"10 million",3,7,2
"10 minute",4,1,4
"10 minutes",65,4,20
"10 new",1,1,2
"10 percent",3,12,5
"10 pm",2,8,11
"10 points",3,4,1
"10 s",1,1,2
"10 second",1,1,1
"10 tickets",1,1,2
"10 times",6,1,8
"10 year",13,11,8
"10 year old",4,1,2
"10 years",31,22,31
"10 years ago",3,1,7
"10 years later",1,1,1
"100 mile",2,1,1
"100 million",8,4,4
"100 people",2,3,2
"100 per",1,1,1
"100 percent",4,3,6
"100 years",5,3,6
"11 months",2,2,1
"11 pm",3,4,3
"11 s",1,2,2
"11 years",8,2,1
"12 18",2,2,1
"12 days",1,1,5
"12 hours",6,1,12
"12 million",2,4,1
"12 months",10,1,4
"12 year",5,3,9
"12 year old",5,2,6
"12 years",5,5,7
"13 inch",1,1,1
"13 months",2,1,1
"13 year",4,1,2
"13 year old",4,1,2
"13 years",7,1,6
"14 million",2,1,1
"14 percent",2,2,1
"14 year",6,1,2
"14 year old",4,1,2
"14 years",6,1,6
"15 cents",2,1,1
"15 days",2,1,3
"15 games",1,1,1
"15 million",3,5,1
"15 minute",5,1,2
"15 minutes",37,4,32
"15 months",5,2,1
"15 seconds",2,3,2
"15 year",8,3,6
"15 year old",7,2,5
"15 years",14,7,9
"15 years ago",1,1,1
"15th century",1,1,1
"16 days",1,1,2
"16 million",1,5,2
"16 year",9,3,5
"16 year old",7,3,5
"16 years",5,3,3
"17 million",1,6,4
"17 months",1,1,1
"17 year",8,8,3
"17 year old",8,8,3
"17 years",8,2,4
"17th street",1,1,1
"18 months",10,4,2
"18 points",1,3,1
"18 year",8,3,4
"18 year old",7,2,3
"18th century",6,1,1
"19 million",1,1,1
"19 year",8,7,1
"19 year old",6,6,1
"19 years",4,2,5
"19th century",22,3,7
"20 days",1,2,3
"20 feet",1,3,1
"20 million",2,5,2
"20 minutes",38,3,29
"20 people",2,1,1
"20 percent",1,10,3
"20 points",1,2,3
"20 s",4,2,4
"20 season",5,2,1
"20 somethings",1,1,1
"20 times",4,1,3
"20 year",6,8,5
"20 years",26,8,22
"20 years ago",6,1,5
"200 million",2,3,3
"200 years",5,1,3
"2011 s",2,1,1
"2011 season",4,5,3
"2012 school",1,1,1
"2012 school year",1,1,1
"2012 will",2,1,5
"20s 30s",1,2,1
"20th century",30,2,3
"21 &",1,1,2
"21 year",4,2,1
"21 year old",3,1,1
"21st century",10,1,13
"22 year",1,8,1
"22 years",5,2,3
"24 hour",9,3,6
"24 hours",35,6,36
"24 hours day",5,1,1
"25 minutes",12,1,4
"25 year",4,3,1
"25 years",18,6,9
"25 years ago",2,1,2
"26 year",2,3,1
"26 year old",2,3,1
"27 year",1,4,1
"27 year old",1,4,1
"28 days",2,1,1
"28 year",4,1,2
"28 year old",4,1,1
"2nd 3rd",1,1,2
"2nd annual",1,1,4
"30 day",2,1,4
"30 days",7,2,12
"30 million",2,1,1
"30 minute",6,2,3
"30 minutes",40,3,23
"30 people",4,1,1
"30 percent",1,3,1
"30 pm",6,3,6
"30 pounds",4,1,1
"30 seconds",24,1,10
"30 year",4,5,3
"30 year fixed",1,1,1
"30 year old",2,1,1
"30 years",24,8,10
"300 million",2,1,1
"32 years",2,1,2
"33 year",1,2,1
"33 year old",1,1,1
"33 years",4,2,1
"34 years",2,2,2
"35 billion",2,1,1
"35 minutes",2,1,1
"35 year",2,1,1
"40 days",2,2,4
"40 minute",2,1,1
"40 minutes",8,1,4
"40 mph",1,1,2
"40 percent",3,7,1
"40 year",4,3,1
"40 year old",4,3,1
"40 years",22,1,5
"400 people",2,1,1
"43 million",1,1,2
"43 year",2,1,1
"43 year old",1,1,1
"43 years",2,1,1
"45 min",1,1,5
"45 minutes",20,3,11
"45 seconds",4,1,2
"45 year",1,1,1
"45 year old",1,1,1
"45 years",3,1,1
"48 hours",14,2,2
"49 year",1,1,1
"4th july",5,1,23
"50 billion",2,1,1
"50 people",2,1,5
"50 percent",3,9,3
"50 yards",1,2,2
"50 year",2,2,2
"50 year old",2,1,1
"50 years",8,5,6
"50 years ago",4,1,1
"500 people",1,2,1
"500 year",1,2,1
