"","blog.txt","news.txt","twitter.txt"
"� dont",1,1,1
"� just",1,1,1
"� want",1,2,1
"� well",2,1,1
"– add",1,1,1
"– friday",4,1,1
"– it’s",50,1,1
"– just",54,1,3
"– may",12,1,1
"– people",17,1,1
"– pm",18,1,3
"— just",8,1,1
"— short",1,1,1
"— sometimes",2,1,1
"— will",9,1,2
"“ ”",2,1,2
"“ almost",2,1,1
"“ amazing",2,1,2
"“ appreciate",2,1,1
"“ beginning",3,1,1
"“ believe",14,1,2
"“ blame",1,1,1
"“ body",5,2,2
"“ can",43,1,18
"“ city",1,2,1
"“ day",3,1,3
"“ don’t",85,6,4
"“ dont",2,1,29
"“ feel",8,2,5
"“ feel like",1,2,4
"“ first",10,1,3
"“ going",19,2,4
"“ good",15,1,12
"“ great",9,2,21
"“ heard",6,1,2
"“ hit",1,1,1
"“ hope",11,2,2
"“ idea",6,1,1
"“ just",38,8,42
"“ kind",6,1,1
"“ know",65,2,14
"“ least",3,1,2
"“ like",20,3,9
"“ like see",2,1,1
"“ little",18,3,1
"“ little bit",2,1,1
"“ live",2,2,5
"“ long",9,1,3
"“ look",11,1,3
"“ makes",1,1,1
"“ many",12,1,3
"“ matter",3,1,2
"“ may",10,1,2
"“ means",2,1,3
"“ men",3,1,1
"“ never",13,2,12
"“ next",5,1,3
"“ nice",3,1,1
"“ one",23,5,10
"“ people",19,1,17
"“ proud",1,1,1
"“ put",5,1,1
"“ really",15,1,8
"“ see",8,1,2
"“ spend",2,1,1
"“ start",4,1,1
"“ support",3,1,1
"“ thats",1,1,6
"“ think",56,5,11
"“ three",2,1,2
"“ two",6,1,5
"“ usually",1,2,1
"“ want",43,1,23
"“ will",41,3,9
"“ will go",1,1,1
"“ won",2,1,1
"aaron rodgers",4,2,17
"ability play",2,1,1
"ability read",3,1,2
"able accept",2,1,1
"able accommodate",3,1,1
"able add",3,1,1
"able buy",6,1,2
"able call",4,1,3
"able drive",1,1,2
"able follow",3,2,2
"able get",99,3,46
"able get married",2,1,3
"able keep",12,1,4
"able leave",1,1,1
"able look",6,1,3
"able make",39,3,27
"able move",7,1,3
"able much",3,1,1
"able pick",5,2,3
"able play",5,2,3
"able provide",7,1,1
"able purchase",2,1,1
"able put",13,1,2
"able read",10,1,8
"able sleep",5,1,10
"able stay",11,1,3
"able think",3,1,4
"able use",17,2,5
"absolutely im",1,1,3
"absolutely loving",1,1,2
"absolutely necessary",6,2,3
"absolutely nothing",18,2,18
"absolutely nothing wrong",2,1,1
"absolutely right",5,1,7
"abuse neglect",3,2,3
"abuse victims",1,1,1
"academic work",1,1,1
"academy awards",4,3,4
"accept challenge",1,1,5
"accept fact",6,1,6
"acceptable make",1,1,1
"acceptance speech",2,1,11
"access information",2,1,2
"access internet",4,1,2
"access treatment",1,1,1
"accomplish anything",4,1,2
"accomplish goals",4,1,2
"according new",4,3,3
"according plan",6,1,2
"according sources",2,2,1
"according state",1,4,1
